,NPGA/90,G/90,G,G+A/90,Pens,player,NPG/90,minutes,A,season,NPG,NPGA
53368,0.15,0.03,1,0.15,0,Michael Krohn-Dehli,0.03,3077,4,2014-2015,1,5
53369,0.27,0.06,2,0.27,0,Toni Kroos,0.06,3049,7,2014-2015,2,9
53370,0.07,0.07,2,0.07,0,Grzegorz Krychowiak,0.07,2712,0,2014-2015,2,2
53371,0.14,0.05,1,0.14,0,Alberto de la Bella,0.05,1906,2,2014-2015,1,3
53372,0.1,0.07,2,0.1,0,Mehdi Lacen,0.07,2598,1,2014-2015,2,3
53373,0.25,0.17,2,0.25,0,Ángel Lafita,0.17,1064,1,2014-2015,2,3
53374,0.09,0,0,0.09,0,Roberto Lago,0,1029,1,2014-2015,0,1
53375,0.03,0,0,0.03,0,Aymeric Laporte,0,2960,1,2014-2015,0,1
53376,0.21,0.05,1,0.21,0,Javi Lara,0.05,1715,3,2014-2015,1,4
53377,0.53,0.45,11,0.53,0,Joaquín Larrivey,0.45,2196,2,2014-2015,11,13
53378,0,0,0,0,0,Daniel Larsson,0,45,0,2014-2015,0,0
53379,0,0,0,0,0,Laure,0,1364,0,2014-2015,0,0
53380,0,0,0,0,0,Dejan Lekić,0,384,0,2014-2015,0,0
53381,0.43,0.12,2,0.43,0,Pedro León,0.12,1470,5,2014-2015,2,7
53382,0.21,0,0,0.21,0,Licá,0,1294,3,2014-2015,0,3
53383,0,0,0,0,0,Lillo,0,2536,0,2014-2015,0,0
53384,0.06,0.15,5,0.15,3,David Lombán,0.06,2984,0,2014-2015,2,2
53385,0,0,0,0,0,Aritz López Garai,0,380,0,2014-2015,0,0
53386,0,0,0,0,0,Pedro López Muñoz,0,860,0,2014-2015,0,0
53387,0,0,0,0,0,José López Silva,0,350,0,2014-2015,0,0
53388,0.08,0.08,1,0.08,0,Álex López,0.08,1121,0,2014-2015,1,1
53389,0,0,0,0,0,David López,0,90,0,2014-2015,0,0
53390,0,0,0,0,0,Íñigo López,0,1787,0,2014-2015,0,0
53391,0.09,0,0,0.09,0,Iván López,0,2084,2,2014-2015,0,2
53392,0.04,0,0,0.04,0,Javi López,0,2180,1,2014-2015,0,1
53393,0,0,0,0,0,Jonathan López,0,360,0,2014-2015,0,0
53394,0,0,0,0,0,Pau López,0,140,0,2014-2015,0,0
53395,0,0,0,0,0,Unai López,0,828,0,2014-2015,0,0
53396,0.07,0.07,2,0.07,0,Alberto Lopo,0.07,2675,0,2014-2015,2,2
53397,0.22,0.03,1,0.22,0,José Luis Gayà,0.03,2918,6,2014-2015,1,7
53398,0.16,0.1,3,0.16,0,José Luis Morales,0.1,2779,2,2014-2015,3,5
53399,0.03,0,0,0.03,0,Luisinho,0,2986,1,2014-2015,0,1
53400,0,0,0,0,0,Luismi,0,11,0,2014-2015,0,0
53401,0,0,0,0,0,Julián Luque Conde,0,30,0,2014-2015,0,0
53402,0.06,0.06,1,0.06,0,Luso,0.06,1395,0,2014-2015,1,1
53403,0,0,0,0,0,Germán Lux,0,630,0,2014-2015,0,0
53404,0,0,0,0,0,Darwin Machís,0,225,0,2014-2015,0,0
53405,0,0,0,0,0,Lévy Madinda,0,61,0,2014-2015,0,0
53406,0.16,0.16,3,0.16,0,Diego Mainz,0.16,1731,0,2014-2015,3,3
53407,0.04,0.04,1,0.04,0,Hugo Mallo,0.04,2330,0,2014-2015,1,1
53408,0.7,0.56,12,0.84,3,Mario Mandžukić,0.42,1922,6,2014-2015,9,15
53409,0,0,0,0,0,Mané,0,286,0,2014-2015,0,0
53410,0.33,0.27,5,0.33,0,Manucho,0.27,1651,1,2014-2015,5,6
53411,0.22,0,0,0.22,0,José Manuel Casado,0,415,1,2014-2015,0,1
53412,0.28,0.06,2,0.28,0,Marcelo,0.06,2923,7,2014-2015,2,9
53413,0.15,0.03,1,0.15,0,Óscar de Marcos,0.03,2948,4,2014-2015,1,5
53414,0,0,0,0,0,Sergio Marcos,0,483,0,2014-2015,0,0
53415,0,0,0,0,0,José Mari,0,642,0,2014-2015,0,0
53416,0.2,0.05,1,0.2,0,José María Giménez,0.05,1757,3,2014-2015,1,4
53417,0,0,0,0,0,Adrián Marín,0,344,0,2014-2015,0,0
53418,0,0,0,0,0,Antonio Marín,0,125,0,2014-2015,0,0
53419,0,0,0,0,0,Diego Mariño,0,2880,0,2014-2015,0,0
53420,0,0,0,0,0,Javi Márquez,0,1424,0,2014-2015,0,0
53421,0,0,0,0,0,Sulayman Marreh,0,45,0,2014-2015,0,0
53422,0.15,0,0,0.15,0,Carlos Martínez,0,1178,2,2014-2015,0,2
53423,0.09,0.09,3,0.09,0,Iñigo Martínez,0.09,3026,0,2014-2015,3,3
53424,0,0,0,0,0,Samu Martínez,0,180,0,2014-2015,0,0
53425,0,0,0,0,0,Luís Martins,0,152,0,2014-2015,0,0
53426,0.27,0.27,1,0.27,0,Rafael Martins,0.27,332,0,2014-2015,1,1
53427,0,0,0,0,0,Javier Mascherano,0,2205,0,2014-2015,0,0
53428,0,0,0,0,0,Jordi Masip,0,90,0,2014-2015,0,0
53429,0.05,0.05,1,0.05,0,Simão Mate Junior,0.05,1984,0,2014-2015,1,1
53430,0.09,0.09,2,0.09,0,Jérémy Mathieu,0.09,2106,0,2014-2015,2,2
53431,0,0,0,0,0,Ryder Matos,0,145,0,2014-2015,0,0
53432,0,0,0,0,0,Felipe Mattioni,0,63,0,2014-2015,0,0
53433,0.24,0.24,4,0.24,0,Stéphane Mbia,0.24,1475,0,2014-2015,4,4
53434,0,0,0,0,0,Álvaro Medrán,0,19,0,2014-2015,0,0
53435,0.06,0.12,2,0.12,1,Haris Medunjanin,0.06,1484,0,2014-2015,1,1
53436,0.34,0.17,5,0.34,0,Tiago Mendes,0.17,2670,5,2014-2015,5,10
53437,0.24,0.19,4,0.24,0,Edgar Mendez,0.19,1912,1,2014-2015,4,5
53438,1.49,1.15,43,1.63,5,Lionel Messi,1.01,3375,18,2014-2015,38,56
53439,0.15,0.15,2,0.15,0,Michel,0.15,1206,0,2014-2015,2,2
53440,0.12,0.12,1,0.12,0,Míchel,0.12,780,0,2014-2015,1,1
53441,0.79,0.79,2,0.79,0,Miku,0.79,227,0,2014-2015,2,2
